LME_nb,ECO_NAME,group,observed_period,simulated_period,simulated_scenario,observed_tonnes_yr,simulated_tonnes_yr,ratio_simulated_observed,matched_cells,plot_eligible
2,Gulf of Alaska,total,1995-2004,2015-2019,F040,1303015.15968001,1318809.91889329,1.01212170027029,178,TRUE
3,California Current,total,1995-2004,2015-2019,F040,599951.723442456,3113373.94067928,5.18937410966184,212,TRUE
4,Gulf of California,total,1995-2004,2015-2019,F040,312448.893146279,38076.4245915581,0.12186448864689,9,TRUE
5,Gulf of Mexico,total,1995-2004,2015-2019,F040,896757.440594135,756689.298740633,0.843805988650954,119,TRUE
6,Southeast U.S. Continental Shelf,total,1995-2004,2015-2019,F040,50213.1692475254,58042.6136588939,1.15592412366512,22,TRUE
7,Northeast U.S. Continental Shelf,total,1995-2004,2015-2019,F040,383997.701631476,508120.682514105,1.32323886407464,22,TRUE
8,Scotian Shelf,total,1995-2004,2015-2019,F040,207727.10613014,435660.630948917,2.09727386601139,25,TRUE
9,Labrador - Newfoundland,total,1995-2004,2015-2019,F040,317325.341402785,681624.017417795,2.14802894217201,85,TRUE
10,Insular Pacific-Hawaiian,total,1995-2004,2015-2019,F040,13432.9674912146,32040.6343463812,2.38522384330464,84,TRUE
11,Pacific Central-American Coastal,total,1995-2004,2015-2019,F040,1821110.89403702,1477083.36137143,0.811089190783457,151,TRUE
12,Caribbean Sea,total,1995-2004,2015-2019,F040,662651.276497976,218010.172542599,0.328996834797865,234,TRUE
13,Humboldt Current,total,1995-2004,2015-2019,F040,13723884.1726386,9367766.8968903,0.682588600941919,223,TRUE
14,Patagonian Shelf,total,1995-2004,2015-2019,F040,1254818.82050701,4062951.76249211,3.23787920303145,115,TRUE
15,South Brazil Shelf,total,1995-2004,2015-2019,F040,228874.779650103,622682.586150003,2.72062560628979,43,TRUE
16,East Brazil Shelf,total,1995-2004,2015-2019,F040,178667.391966685,44748.1083580714,0.25045481363726,74,TRUE
17,North Brazil Shelf,total,1995-2004,2015-2019,F040,321783.116796115,1163488.9416963,3.61575508771487,68,TRUE
18,Canadian Eastern Arctic - West Greenland,total,1995-2004,2015-2019,F040,141798.93100259,25317.7636914465,0.178546929179487,234,TRUE
19,Greenland Sea,total,1995-2004,2015-2019,F040,745525.236311933,8576.50124422415,0.011503971732267,304,TRUE
20,Barents Sea,total,1995-2004,2015-2019,F040,2338373.10785722,337384.182626512,0.14428158684038,596,TRUE
21,Norwegian Sea,total,1995-2004,2015-2019,F040,1271511.25915287,263816.262161613,0.207482442851018,233,TRUE
22,North Sea,total,1995-2004,2015-2019,F040,3964722.32115774,1404601.79261418,0.354274947609452,84,TRUE
