lon,lat,group,2015-2019
-179.5,-51.5,demersals,2.76986134615023e-06
-179.5,-51.5,total,0.588428806007392
-179.5,-50.5,smallPel,0.394579460899248
-179.5,-50.5,largePel,0.204487613126979
-179.5,-50.5,demersals,2.45064829939112e-06
-179.5,-50.5,total,0.599069524674527
-179.5,-49.5,smallPel,0.458267490946119
-179.5,-49.5,largePel,0.256490700984295
-179.5,-49.5,demersals,6.71829596155453e-07
-179.5,-49.5,total,0.71475886376001
-179.5,-48.5,smallPel,0.613661360548347
-179.5,-48.5,largePel,0.375820619418548
-179.5,-48.5,demersals,1.05122879987144e-08
-179.5,-48.5,total,0.989481990479183
-179.5,-47.5,smallPel,0.988672586337748
-179.5,-47.5,largePel,0.684370142363316
-179.5,-47.5,demersals,2.83719175711241e-09
-179.5,-47.5,total,1.67304273153826
-179.5,-46.5,smallPel,1.2570135445214
-179.5,-46.5,largePel,0.910731403157131
-179.5,-46.5,demersals,2.96532759918881e-07
-179.5,-46.5,total,2.1677452442113
-179.5,-45.5,smallPel,1.78276255870648
-179.5,-45.5,largePel,1.34146377587666
-179.5,-45.5,demersals,1.08740315511387e-07
-179.5,-45.5,total,3.12422644332346
-179.5,-44.5,smallPel,1.87757259802802
-179.5,-44.5,largePel,1.46000459934479
-179.5,-44.5,demersals,0.102821006901108
-179.5,-44.5,total,3.44039820427392
-179.5,-43.5,smallPel,1.88137705370841
-179.5,-43.5,largePel,1.47357301597054
-179.5,-43.5,demersals,0.197143296813138
-179.5,-43.5,total,3.55209336649208
-179.5,-42.5,smallPel,1.20240872696048
-179.5,-42.5,largePel,1.114773990693
-179.5,-42.5,demersals,1.0439624232204e-07
-179.5,-42.5,total,2.31718282204972
-179.5,-41.5,smallPel,1.03382017057433
-179.5,-41.5,largePel,0.949295861065425
-179.5,-41.5,demersals,1.81459309148363e-07
-179.5,-41.5,total,1.98311621309907
-179.5,-40.5,smallPel,0.849831989327983
-179.5,-40.5,largePel,0.742323094265811
-179.5,-40.5,demersals,3.12805685868697e-07
-179.5,-40.5,total,1.59215539639948
-179.5,-39.5,smallPel,0.786277421908337
-179.5,-39.5,largePel,0.679619572441038
-179.5,-39.5,demersals,5.41777877104573e-07
-179.5,-39.5,total,1.46589753612725
-179.5,-38.5,smallPel,0.783517498567518
-179.5,-38.5,largePel,0.676042010886389
-179.5,-38.5,demersals,5.79200209730181e-07
-179.5,-38.5,total,1.45956008865412
-179.5,-37.5,smallPel,0.783627910954975
-179.5,-37.5,largePel,0.674603288702361
-179.5,-37.5,demersals,6.99876626374924e-07
-179.5,-37.5,total,1.45823189953396
-179.5,-36.5,smallPel,0.679707687292108
-179.5,-36.5,largePel,0.578118566297187
-179.5,-36.5,demersals,1.00069243649032e-06
-179.5,-36.5,total,1.25782725428173
-179.5,-35.5,smallPel,0.643233083932776
-179.5,-35.5,largePel,0.54911812860167
-179.5,-35.5,demersals,1.00549899241386e-06
-179.5,-35.5,total,1.19235221803344
-179.5,-34.5,smallPel,0.656629910842498
-179.5,-34.5,largePel,0.560447561589796
-179.5,-34.5,demersals,6.09291458971782e-07
-179.5,-34.5,total,1.21707808172375
-179.5,-33.5,smallPel,0.70078356221546
-179.5,-33.5,largePel,0.610244337979599
-179.5,-33.5,demersals,2.38451617463968e-07
-179.5,-33.5,total,1.31102813864668
-179.5,-32.5,smallPel,0.709186369499693
-179.5,-32.5,largePel,0.624976689272695
-179.5,-32.5,demersals,2.30919125878588e-07
-179.5,-32.5,total,1.33416328969151
-179.5,-31.5,smallPel,0.644156365937385
-179.5,-31.5,largePel,0.539906289944862
-179.5,-31.5,demersals,1.71158411172536e-07
-179.5,-31.5,total,1.18406282704066
-179.5,-30.5,smallPel,0.513175129842672
-179.5,-30.5,largePel,0.391832177402925
-179.5,-30.5,demersals,1.77307146928261e-07
-179.5,-30.5,total,0.905007484552745
-179.5,-29.5,smallPel,0.371279790428235
-179.5,-29.5,largePel,0.216542107247906
-179.5,-29.5,demersals,2.25555684892232e-07
-179.5,-29.5,total,0.587822123231827
-179.5,-28.5,smallPel,0.260056662907817
-179.5,-28.5,largePel,0.0635556137086684
-179.5,-28.5,demersals,1.84077844458828e-07
-179.5,-28.5,total,0.32361246069433
-179.5,-27.5,smallPel,0.134473992988589
-179.5,-27.5,largePel,6.82050017887333e-08
-179.5,-27.5,demersals,1.87391569986693e-07
-179.5,-27.5,total,0.134474248585161
-179.5,-26.5,smallPel,0.0771127431310207
-179.5,-26.5,largePel,2.6147010501298e-21
